series,episode,bakers,baker_age,technical,result,baker_occupation,hometown,signature_bake,show_stopper
6,4,Flora,19,3,IN,Art gallery assistant,"Dunkeld, Perth and Kinross",Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
6,4,Mat,37,7,IN,Fire fighter,London,Coconut Crème Brûlées,Chocolate Bar Cheesecakes
6,4,Nadiya,30,8,IN,Full-time mother,Leeds / Luton,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes
6,4,Paul,49,1,IN,Prison governor,"Swansea, Wales",Almond Crème Brûlées,Berry Cheesecake Tower
6,4,Tamal,29,5,IN,Trainee anaesthetist,Manchester,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio"
6,4,Ugnė,32,2,IN,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes"
6,4,Sandy,49,6,OUT,Child welfare officer,"Yeadon, West Yorkshire",Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
6,4,Ian,41,4,STAR BAKER,Travel photographer,"Great Wilbraham, Cambridgeshire",Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes
6,5,Alvin,37,8,IN,Nurse,"Bracknell, Berkshire",Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
6,5,Flora,19,3,IN,Art gallery assistant,"Dunkeld, Perth and Kinross","Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
6,5,Ian,41,5,IN,Travel photographer,"Great Wilbraham, Cambridgeshire",Honey and Flowers Cake,Dessert Island
6,5,Mat,37,4,IN,Fire fighter,London,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll
6,5,Paul,49,2,IN,Prison governor,"Swansea, Wales",Carrot & Pecan Cake,Dessert Island Getaway
6,5,Tamal,29,7,IN,Trainee anaesthetist,Manchester,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll
6,5,Ugnė,32,6,OUT,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll"
6,5,Nadiya,30,1,STAR BAKER,Full-time mother,Leeds / Luton,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll
6,6,Flora,19,2,IN,Art gallery assistant,"Dunkeld, Perth and Kinross",Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
6,6,Ian,41,3,IN,Travel photographer,"Great Wilbraham, Cambridgeshire",Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer
6,6,Nadiya,30,4,IN,Full-time mother,Leeds / Luton,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents
6,6,Paul,49,5,IN,Prison governor,"Swansea, Wales",Christmas Frangipane Tart,Savoury and Sweet Bouchées
6,6,Tamal,29,7,IN,Trainee anaesthetist,Manchester,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
6,6,Alvin,37,6,OUT,Nurse,"Bracknell, Berkshire",Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
6,6,Mat,37,1,STAR BAKER,Fire fighter,London,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents
6,7,Flora,19,4,IN,Art gallery assistant,"Dunkeld, Perth and Kinross",Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
6,7,Ian,41,5,IN,Travel photographer,"Great Wilbraham, Cambridgeshire",Roadkill Pie,Victoria's Crown Charlotte Russe
6,7,Nadiya,30,1,IN,Full-time mother,Leeds / Luton,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe
6,7,Paul,49,2,IN,Prison governor,"Swansea, Wales",Not a Boaring Pie,Charlotte Rose
6,7,Mat,37,6,OUT,Fire fighter,London,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe
6,7,Tamal,29,3,STAR BAKER,Trainee anaesthetist,Manchester,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
6,8,Flora,19,3,IN,Art gallery assistant,"Dunkeld, Perth and Kinross",Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
6,8,Ian,41,2,IN,Travel photographer,"Great Wilbraham, Cambridgeshire",Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions
6,8,Tamal,29,4,IN,Trainee anaesthetist,Manchester,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
6,8,Paul,49,5,OUT,Prison governor,"Swansea, Wales",Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne
6,8,Nadiya,30,1,STAR BAKER,Full-time mother,Leeds / Luton,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
6,9,Ian,41,3,IN,Travel photographer,"Great Wilbraham, Cambridgeshire",Chocolate and Bay Tart,Chocolate Well
6,9,Tamal,29,2,IN,Trainee anaesthetist,Manchester,Chocolate New York Pie,Chocolate Bell Tower
6,9,Flora,19,1,OUT,Art gallery assistant,"Dunkeld, Perth and Kinross",Passion Fruit and Chocolate Tart,Cocoa Carousel
6,9,Nadiya,30,4,STAR BAKER,Full-time mother,Leeds / Luton,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door
6,10,Ian,41,2,Runner-up,Travel photographer,"Great Wilbraham, Cambridgeshire",Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake
6,10,Tamal,29,3,Runner-up,Trainee anaesthetist,Manchester,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake
6,10,Nadiya,30,1,WINNER,Full-time mother,Leeds / Luton,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake
7,1,Andrew,25,12,IN,Aerospace engineer,"Derby / Holywood, County Down",Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
7,1,Benjamina,23,6,IN,Teaching assistant,South London,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
7,1,Candice,31,5,IN,PE teacher,"Barton-Le-Clay, Bedfordshire",Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
7,1,Kate,37,4,IN,Nurse,"Brooke, Norfolk",Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake
7,1,Louise,46,9,IN,Hairdresser,Cardiff,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake
7,1,Michael,20,3,IN,Student,Durham,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze
7,1,Rav,28,8,IN,Student support,Erith,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake
7,1,Selasi,30,1,IN,Client service associate,London,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
7,1,Tom,26,2,IN,Project engagement manager,Rochdale,G&T Drizzle Cake,Black Forest Broken Mirror
7,1,Val,66,10,IN,"Semi-retired, Substitute teacher",Yeovil,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting
7,1,Lee,67,11,OUT,Pastor,Bolton,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake
7,1,Jane,61,7,STAR BAKER,Garden designer,Beckenham,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake
7,2,Andrew,25,4,IN,Aerospace engineer,"Derby / Holywood, County Down",Beehive Biscuits,Punting in Cambridge
7,2,Benjamina,23,3,IN,Teaching assistant,South London,Bouquet Biscuits,"New York, New York"
7,2,Jane,61,2,IN,Garden designer,Beckenham,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat
7,2,Kate,37,1,IN,Nurse,"Brooke, Norfolk","""A Biscuit for the Broads""","""I Promise I will do my best"""
7,2,Michael,20,9,IN,Student,Durham,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland
7,2,Rav,28,6,IN,Student support,Erith,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground
7,2,Selasi,30,11,IN,Client service associate,London,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church
7,2,Tom,26,7,IN,Project engagement manager,Rochdale,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience
7,2,Val,66,5,IN,"Semi-retired, Substitute teacher",Yeovil,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire
7,2,Louise,46,10,OUT,Hairdresser,Cardiff,Baa Bara Brith Biscuits,Gingerbread Wedding
7,2,Candice,31,8,STAR BAKER,PE teacher,"Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
7,3,Andrew,25,2,IN,Aerospace engineer,"Derby / Holywood, County Down",Chocolate Barmbrack Bread,Braided Harvest Bread Basket
7,3,Benjamina,23,6,IN,Teaching assistant,South London,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
7,3,Candice,31,3,IN,PE teacher,"Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
7,3,Jane,61,9,IN,Garden designer,Beckenham,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre
7,3,Kate,37,8,IN,Nurse,"Brooke, Norfolk",Cobbled Loaf,The Corn Maiden
7,3,Rav,28,10,IN,Student support,Erith,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece
7,3,Selasi,30,5,IN,Client service associate,London,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread
7,3,Val,66,1,IN,"Semi-retired, Substitute teacher",Yeovil,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain"""
7,3,Michael,20,7,OUT,Student,Durham,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous
7,3,Tom,26,4,STAR BAKER,Project engagement manager,Rochdale,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir
7,4,Andrew,25,4,IN,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,Churros Window Box
7,4,Candice,31,2,IN,PE teacher,"Barton-Le-Clay, Bedfordshire",Yorkshire Wellingtons,Two-Way Peanut Butter Churros
7,4,Jane,61,3,IN,Garden designer,Beckenham,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros
7,4,Rav,28,9,IN,Student support,Erith,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros
7,4,Selasi,30,8,IN,Client service associate,London,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros
7,4,Tom,26,5,IN,Project engagement manager,Rochdale,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass
7,4,Val,66,6,IN,"Semi-retired, Substitute teacher",Yeovil,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros
7,4,Kate,37,7,OUT,Nurse,"Brooke, Norfolk",Christmas Dinner Compromise,Hot Cross Bunny Churros
7,4,Benjamina,23,1,STAR BAKER,Teaching assistant,South London,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
7,5,Andrew,25,6,IN,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
7,5,Benjamina,23,5,IN,Teaching assistant,South London,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
7,5,Jane,61,1,IN,Garden designer,Beckenham,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
7,5,Rav,28,8,IN,Student support,Erith,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas
7,5,Selasi,30,3,IN,Client service associate,London,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
7,5,Tom,26,4,IN,Project engagement manager,Rochdale,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche
7,5,Val,66,7,OUT,"Semi-retired, Substitute teacher",Yeovil,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
7,5,Candice,31,2,STAR BAKER,PE teacher,"Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
7,6,Andrew,25,6,IN,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
7,6,Benjamina,23,2,IN,Teaching assistant,South London,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
7,6,Candice,31,5,IN,PE teacher,"Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
7,6,Jane,61,4,IN,Garden designer,Beckenham,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar
7,6,Selasi,30,7,IN,Client service associate,London,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake
7,6,Rav,28,3,OUT,Student support,Erith,Mandarin Margarita Meringue Pie,Blossom Cake
7,6,Tom,26,1,STAR BAKER,Project engagement manager,Rochdale,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake
7,7,Benjamina,23,3,IN,Teaching assistant,South London,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
7,7,Candice,31,2,IN,PE teacher,"Barton-Le-Clay, Bedfordshire",Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
7,7,Jane,61,4,IN,Garden designer,Beckenham,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
7,7,Selasi,30,6,IN,Client service associate,London,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
7,7,Tom,26,5,OUT,Project engagement manager,Rochdale,Millionaire's Roulade,Hipster Picnic
7,7,Andrew,25,1,STAR BAKER,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
7,8,Andrew,25,2,IN,Aerospace engineer,"Derby / Holywood, County Down",Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
7,8,Jane,61,5,IN,Garden designer,Beckenham,Tudor Rose Pies,Swans
7,8,Selasi,30,3,IN,Client service associate,London,Bouquet of Flowers,Fruity Tudor Marchpane
7,8,Benjamina,23,4,OUT,Teaching assistant,South London,Mexican Adventure,Tudor Garden
7,8,Candice,31,1,STAR BAKER,PE teacher,"Barton-Le-Clay, Bedfordshire",Cheesy Cheeky Fish Pies,Peacock
7,9,Candice,31,3,IN,PE teacher,"Barton-Le-Clay, Bedfordshire","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
7,9,Jane,61,1,IN,Garden designer,Beckenham,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies
7,9,Selasi,30,4,OUT,Client service associate,London,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies
7,9,Andrew,25,2,STAR BAKER,Aerospace engineer,"Derby / Holywood, County Down",Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
7,10,Andrew,25,1,Runner-up,Aerospace engineer,"Derby / Holywood, County Down",Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
7,10,Jane,61,3,Runner-up,Garden designer,Beckenham,"Red, White and Blue Meringue Crown",Family Favourites Feast
7,10,Candice,31,2,WINNER,PE teacher,"Barton-Le-Clay, Bedfordshire",Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens
8,1,Chris,50,12,IN,Software developer,Bristol,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake
8,1,Flo,71,9,IN,Retired,Merseyside,Citrus Layer Cake,'One in a Melon' Cake
8,1,James,46,2,IN,Banker,"Brentwood, Essex","Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake
8,1,Julia,21,3,IN,Aviation Broker,"Crawley, West Sussex",Courgette and Lemon Cake,'Russian Doll' Cake
8,1,Kate,29,1,IN,Health and safety inspector,Merseyside,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake
8,1,Liam,19,8,IN,Student,North London,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake
8,1,Sophie,33,5,IN,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake
8,1,Stacey,42,11,IN,Former school teacher,"Radlett, Hertfordshire",Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake
8,1,Tom,29,7,IN,Architect,Edinburgh,Gilded Pear and Cardamom Cake,'Stack of Books' Cake
8,1,Yan,46,4,IN,Laboratory research scientist,North London,Windfall Apple Crumble Cake,'Banana-ramen' Cake
8,1,Peter,52,10,OUT,IT programme manager,"Southend, Essex",Coconut Cake,'Bread on a Breadboard' Cake
8,1,Steven,34,6,STAR BAKER,Marketer,"Watford, Hertfordshire",Bonfire Night Cake,'A Baker's Lunch' Cake
8,2,Flo,71,10,IN,Retired,Merseyside,Gin Jam Butties,'Pick My Bones' Game
8,2,James,46,3,IN,Banker,"Brentwood, Essex",Rhubarb and Custard Whirls,'Coppit' Game
8,2,Julia,21,4,IN,Aviation Broker,"Crawley, West Sussex",Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game
8,2,Kate,29,8,IN,Health and safety inspector,Merseyside,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game
8,2,Liam,19,7,IN,Student,North London,Coffee Malted Pecan Shorties,'Classroom Classics' Game
8,2,Sophie,33,2,IN,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game
8,2,Stacey,42,9,IN,Former school teacher,"Radlett, Hertfordshire",Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game
8,2,Tom,29,5,IN,Architect,Edinburgh,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game
8,2,Yan,46,1,IN,Laboratory research scientist,North London,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game
8,2,Chris,50,11,OUT,Software developer,Bristol,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game
8,2,Steven,34,6,STAR BAKER,Marketer,"Watford, Hertfordshire",Amarpressi Biscuits,'Check Bake' Game
8,3,James,46,9,IN,Banker,"Brentwood, Essex",Nordic Teacakes,'Owl in the Woods' Bread Sculpture
8,3,Kate,29,10,IN,Health and safety inspector,Merseyside,Blueberry Buns,'Kraken' Bread Sculpture
8,3,Liam,19,5,IN,Student,North London,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture
8,3,Sophie,33,6,IN,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Tagine Teacakes,'Picnic Basket' Bread Sculpture
8,3,Stacey,42,1,IN,Former school teacher,"Radlett, Hertfordshire",Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture
8,3,Steven,34,3,IN,Marketer,"Watford, Hertfordshire",Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture
8,3,Tom,29,4,IN,Architect,Edinburgh,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture
8,3,Yan,46,8,IN,Laboratory research scientist,North London,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
8,3,Flo,71,7,OUT,Retired,Merseyside,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture
8,3,Julia,21,2,STAR BAKER,Aviation Broker,"Crawley, West Sussex",Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture
8,4,James,46,2,IN,Banker,"Brentwood, Essex",'Windy City' Millionaire Shortbreads,Nutty Caramel Cake
8,4,Julia,21,9,IN,Aviation Broker,"Crawley, West Sussex",Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake
8,4,Liam,19,3,IN,Student,North London,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake
8,4,Sophie,33,4,IN,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake
8,4,Stacey,42,1,IN,Former school teacher,"Radlett, Hertfordshire",Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake
8,4,Steven,34,7,IN,Marketer,"Watford, Hertfordshire",Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake
8,4,Yan,46,8,IN,Laboratory research scientist,North London,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
8,4,Tom,29,5,OUT,Architect,Edinburgh,Stem Ginger Caramel Shortbreads,Hummingbird Cake
8,4,Kate,29,6,STAR BAKER,Health and safety inspector,Merseyside,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake
8,5,Julia,21,3,IN,Aviation Broker,"Crawley, West Sussex",Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine
8,5,Kate,29,8,IN,Health and safety inspector,Merseyside,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine
8,5,Liam,19,2,IN,Student,North London,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine
8,5,Stacey,42,4,IN,Former school teacher,"Radlett, Hertfordshire",Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine
8,5,Steven,34,5,IN,Marketer,"Watford, Hertfordshire",Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine
8,5,Yan,46,6,IN,Laboratory research scientist,North London,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
8,5,James,46,7,OUT,Banker,"Brentwood, Essex",Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine
8,5,Sophie,33,1,STAR BAKER,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
8,6,Kate,29,5,IN,Health and safety inspector,Merseyside,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze
8,6,Sophie,33,2,IN,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits
8,6,Stacey,42,6,IN,Former school teacher,"Radlett, Hertfordshire",'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango
8,6,Steven,34,3,IN,Marketer,"Watford, Hertfordshire",'Fleetwood Mac' Decorative Pies,Christmas Pie
8,6,Yan,46,1,IN,Laboratory research scientist,North London,'πr2' Decorative Pies,Chequerboard Pie
8,6,Julia,21,7,OUT,Aviation Broker,"Crawley, West Sussex",'Pies from the Tree' Decorative Pies,'Special Occasion' Pie
8,6,Liam,19,4,STAR BAKER,Student,North London,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie
8,7,Kate,29,6,IN,Health and safety inspector,Merseyside,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle
8,7,Liam,19,2,IN,Student,North London,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle
8,7,Sophie,33,3,IN,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'Classics with a Twist' Cannoli,'Classics' Sfogliatelle
8,7,Stacey,42,4,IN,Former school teacher,"Radlett, Hertfordshire",My All Time Favourite Desserts,Pastry Surprise
8,7,Yan,46,5,OUT,Laboratory research scientist,North London,Cannoli Cocktails,Canadian-Style Sfogliatelle
8,7,Steven,34,1,STAR BAKER,Marketer,"Watford, Hertfordshire",Italian Style Cannoli,'Sicilian-style' Sfogliatelle
8,8,Kate,29,2,IN,Health and safety inspector,Merseyside,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake
8,8,Sophie,33,4,IN,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake
8,8,Steven,34,1,IN,Marketer,"Watford, Hertfordshire",'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake
8,8,Liam,19,5,OUT,Student,North London,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake
8,8,Stacey,42,3,STAR BAKER,Former school teacher,"Radlett, Hertfordshire",Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake
8,9,Kate,29,4,IN,Health and safety inspector,Merseyside,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece
8,9,Steven,34,3,IN,Marketer,"Watford, Hertfordshire",Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece
8,9,Stacey,42,2,OUT,Former school teacher,"Radlett, Hertfordshire",'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece
8,9,Sophie,33,1,STAR BAKER,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece
8,10,Kate,29,3,Runner-up,Health and safety inspector,Merseyside,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet"
8,10,Steven,34,1,Runner-up,Marketer,"Watford, Hertfordshire","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet
8,10,Sophie,33,2,WINNER,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet
9,1,Antony,30,12,IN,Banker,London,NA,NA
9,1,Briony,33,2,IN,Full-time parent,Bristol,NA,NA
9,1,Dan,36,4,IN,Full-time parent,London,NA,NA
9,1,Jon,47,5,IN,Blood courier,Newport,NA,NA
9,1,Karen,60,6,IN,In-store sampling assistant,Wakefield,NA,NA
9,1,Kim-Joy,27,10,IN,Mental health specialist,Leeds,NA,NA
9,1,Luke,30,8,IN,Civil servant/house and techno DJ,Sheffield,NA,NA
9,1,Rahul,30,7,IN,Research scientist,Rotherham,NA,NA
9,1,Ruby,29,1,IN,Project manager,London,NA,NA
9,1,Terry,56,9,IN,Retired air steward,West Midlands,NA,NA
