series,episode,bakers,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
5,8,Luis,2,IN,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",42,Graphic Designer,"Poynton, Cheshire"
5,8,Nancy,3,IN,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,8,Martha,5,OUT,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,17,Student,"Ascot, Berkshire"
5,8,Richard,4,STAR BAKER,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,38,Builder,"Mill Hill, London"
5,9,Luis,1,IN,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",42,Graphic Designer,"Poynton, Cheshire"
5,9,Nancy,3,IN,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,9,Chetna,4,OUT,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",35,Fashion Designer,"Broadstairs, Kent"
5,9,Richard,2,STAR BAKER,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,38,Builder,"Mill Hill, London"
5,10,Luis,2,Runner-up,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,42,Graphic Designer,"Poynton, Cheshire"
5,10,Richard,3,Runner-up,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,38,Builder,"Mill Hill, London"
5,10,Nancy,1,WINNER,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
6,1,Alvin,2,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,37,Nurse,"Bracknell, Berkshire"
6,1,Dorret,5,IN,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,53,Accountant,"Penwortham, Lancashire"
6,1,Flora,6,IN,Blood Orange Madeira Cake,Black Forest Gâteau,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,1,Ian,8,IN,Somewhere West of Madeira Cake,Black Forest Cherry Tree,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,1,Mat,7,IN,Gin and Tonic Madeira Cake,Black Forest Gateau,37,Fire fighter,London
6,1,Nadiya,12,IN,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,30,Full-time mother,Leeds / Luton
6,1,Paul,10,IN,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,49,Prison governor,"Swansea, Wales"
6,1,Sandy,9,IN,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,49,Child welfare officer,"Yeadon, West Yorkshire"
6,1,Tamal,4,IN,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,29,Trainee anaesthetist,Manchester
6,1,Ugnė,1,IN,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,1,Stu,11,OUT,Marley Madeira Cake,Purple Forest Gâteau,35,Professional musician,"Guildford, Surrey"
6,1,Marie,3,STAR BAKER,Zingy Citrus Madeira Cake,A Walk in the Black Forest,66,Retired,"Auchterarder, Perthshire"
6,2,Alvin,6,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,37,Nurse,"Bracknell, Berkshire"
6,2,Dorret,1,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,53,Accountant,"Penwortham, Lancashire"
6,2,Flora,2,IN,Wedding Biscotti,Honey and Earl Grey Tea Box,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,2,Mat,5,IN,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,37,Fire fighter,London
6,2,Nadiya,9,IN,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,30,Full-time mother,Leeds / Luton
6,2,Paul,10,IN,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,49,Prison governor,"Swansea, Wales"
6,2,Sandy,4,IN,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,49,Child welfare officer,"Yeadon, West Yorkshire"
6,2,Tamal,8,IN,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,29,Trainee anaesthetist,Manchester
6,2,Ugnė,7,IN,White Wine Biscotti,Baby Climbing into the Cookie Box,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,2,Marie,11,OUT,Biscotti Italiano,Russian Box,66,Retired,"Auchterarder, Perthshire"
6,2,Ian,3,STAR BAKER,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,3,Alvin,4,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,37,Nurse,"Bracknell, Berkshire"
6,3,Flora,2,IN,Fig and Hazelnut Rye Breads,Herb Couture,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,3,Mat,8,IN,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,37,Fire fighter,London
6,3,Nadiya,9,IN,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,30,Full-time mother,Leeds / Luton
6,3,Paul,10,IN,Cranberry and Orange Sweet Soda Breads,King of the Jungle,49,Prison governor,"Swansea, Wales"
6,3,Sandy,7,IN,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,49,Child welfare officer,"Yeadon, West Yorkshire"
6,3,Tamal,3,IN,"Fig, Cheese and Walnut Breads",Breadcycle,29,Trainee anaesthetist,Manchester
6,3,Ugnė,5,IN,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,3,Dorret,6,OUT,Walnut and Stilton Soda Breads,Unmade Bread,53,Accountant,"Penwortham, Lancashire"
6,3,Ian,1,STAR BAKER,Wild Garlic Pesto Soda Breads,Flour Power,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,4,Alvin,9,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,37,Nurse,"Bracknell, Berkshire"
6,4,Flora,3,IN,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,4,Mat,7,IN,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,37,Fire fighter,London
6,4,Nadiya,8,IN,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,30,Full-time mother,Leeds / Luton
6,4,Paul,1,IN,Almond Crème Brûlées,Berry Cheesecake Tower,49,Prison governor,"Swansea, Wales"
6,4,Tamal,5,IN,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",29,Trainee anaesthetist,Manchester
6,4,Ugnė,2,IN,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,4,Sandy,6,OUT,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",49,Child welfare officer,"Yeadon, West Yorkshire"
6,4,Ian,4,STAR BAKER,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,5,Alvin,8,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",37,Nurse,"Bracknell, Berkshire"
6,5,Flora,3,IN,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,5,Ian,5,IN,Honey and Flowers Cake,Dessert Island,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,5,Mat,4,IN,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,37,Fire fighter,London
6,5,Paul,2,IN,Carrot & Pecan Cake,Dessert Island Getaway,49,Prison governor,"Swansea, Wales"
6,5,Tamal,7,IN,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,29,Trainee anaesthetist,Manchester
6,5,Ugnė,6,OUT,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,5,Nadiya,1,STAR BAKER,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,30,Full-time mother,Leeds / Luton
6,6,Flora,2,IN,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,6,Ian,3,IN,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,6,Nadiya,4,IN,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,30,Full-time mother,Leeds / Luton
6,6,Paul,5,IN,Christmas Frangipane Tart,Savoury and Sweet Bouchées,49,Prison governor,"Swansea, Wales"
6,6,Tamal,7,IN,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,29,Trainee anaesthetist,Manchester
6,6,Alvin,6,OUT,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,37,Nurse,"Bracknell, Berkshire"
6,6,Mat,1,STAR BAKER,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,37,Fire fighter,London
6,7,Flora,4,IN,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,7,Ian,5,IN,Roadkill Pie,Victoria's Crown Charlotte Russe,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,7,Nadiya,1,IN,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,30,Full-time mother,Leeds / Luton
6,7,Paul,2,IN,Not a Boaring Pie,Charlotte Rose,49,Prison governor,"Swansea, Wales"
6,7,Mat,6,OUT,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,37,Fire fighter,London
6,7,Tamal,3,STAR BAKER,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",29,Trainee anaesthetist,Manchester
6,8,Flora,3,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,8,Ian,2,IN,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,8,Tamal,4,IN,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,29,Trainee anaesthetist,Manchester
6,8,Paul,5,OUT,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,49,Prison governor,"Swansea, Wales"
6,8,Nadiya,1,STAR BAKER,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,30,Full-time mother,Leeds / Luton
6,9,Ian,3,IN,Chocolate and Bay Tart,Chocolate Well,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,9,Tamal,2,IN,Chocolate New York Pie,Chocolate Bell Tower,29,Trainee anaesthetist,Manchester
6,9,Flora,1,OUT,Passion Fruit and Chocolate Tart,Cocoa Carousel,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,9,Nadiya,4,STAR BAKER,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,30,Full-time mother,Leeds / Luton
6,10,Ian,2,Runner-up,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,10,Tamal,3,Runner-up,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,29,Trainee anaesthetist,Manchester
6,10,Nadiya,1,WINNER,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,30,Full-time mother,Leeds / Luton
7,1,Andrew,12,IN,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,25,Aerospace engineer,"Derby / Holywood, County Down"
7,1,Benjamina,6,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,23,Teaching assistant,South London
7,1,Candice,5,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,1,Kate,4,IN,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,37,Nurse,"Brooke, Norfolk"
7,1,Louise,9,IN,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,46,Hairdresser,Cardiff
7,1,Michael,3,IN,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,20,Student,Durham
7,1,Rav,8,IN,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,28,Student support,Erith
7,1,Selasi,1,IN,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",30,Client service associate,London
7,1,Tom,2,IN,G&T Drizzle Cake,Black Forest Broken Mirror,26,Project engagement manager,Rochdale
7,1,Val,10,IN,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,66,"Semi-retired, Substitute teacher",Yeovil
7,1,Lee,11,OUT,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,67,Pastor,Bolton
7,1,Jane,7,STAR BAKER,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,61,Garden designer,Beckenham
7,2,Andrew,4,IN,Beehive Biscuits,Punting in Cambridge,25,Aerospace engineer,"Derby / Holywood, County Down"
7,2,Benjamina,3,IN,Bouquet Biscuits,"New York, New York",23,Teaching assistant,South London
7,2,Jane,2,IN,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,61,Garden designer,Beckenham
7,2,Kate,1,IN,"""A Biscuit for the Broads""","""I Promise I will do my best""",37,Nurse,"Brooke, Norfolk"
7,2,Michael,9,IN,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,20,Student,Durham
7,2,Rav,6,IN,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,28,Student support,Erith
7,2,Selasi,11,IN,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,30,Client service associate,London
7,2,Tom,7,IN,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,26,Project engagement manager,Rochdale
7,2,Val,5,IN,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,66,"Semi-retired, Substitute teacher",Yeovil
7,2,Louise,10,OUT,Baa Bara Brith Biscuits,Gingerbread Wedding,46,Hairdresser,Cardiff
7,2,Candice,8,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,3,Andrew,2,IN,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,25,Aerospace engineer,"Derby / Holywood, County Down"
7,3,Benjamina,6,IN,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,23,Teaching assistant,South London
7,3,Candice,3,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,3,Jane,9,IN,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,61,Garden designer,Beckenham
7,3,Kate,8,IN,Cobbled Loaf,The Corn Maiden,37,Nurse,"Brooke, Norfolk"
7,3,Rav,10,IN,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,28,Student support,Erith
7,3,Selasi,5,IN,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,30,Client service associate,London
7,3,Val,1,IN,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",66,"Semi-retired, Substitute teacher",Yeovil
7,3,Michael,7,OUT,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,20,Student,Durham
7,3,Tom,4,STAR BAKER,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,26,Project engagement manager,Rochdale
7,4,Andrew,4,IN,Yorkshire 'Tapas' Puddings,Churros Window Box,25,Aerospace engineer,"Derby / Holywood, County Down"
7,4,Candice,2,IN,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,4,Jane,3,IN,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,61,Garden designer,Beckenham
7,4,Rav,9,IN,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,28,Student support,Erith
7,4,Selasi,8,IN,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,30,Client service associate,London
7,4,Tom,5,IN,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,26,Project engagement manager,Rochdale
7,4,Val,6,IN,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,66,"Semi-retired, Substitute teacher",Yeovil
7,4,Kate,7,OUT,Christmas Dinner Compromise,Hot Cross Bunny Churros,37,Nurse,"Brooke, Norfolk"
7,4,Benjamina,1,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,23,Teaching assistant,South London
7,5,Andrew,6,IN,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,25,Aerospace engineer,"Derby / Holywood, County Down"
7,5,Benjamina,5,IN,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,23,Teaching assistant,South London
7,5,Jane,1,IN,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",61,Garden designer,Beckenham
7,5,Rav,8,IN,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,28,Student support,Erith
7,5,Selasi,3,IN,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",30,Client service associate,London
7,5,Tom,4,IN,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,26,Project engagement manager,Rochdale
7,5,Val,7,OUT,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",66,"Semi-retired, Substitute teacher",Yeovil
7,5,Candice,2,STAR BAKER,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,6,Andrew,6,IN,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,25,Aerospace engineer,"Derby / Holywood, County Down"
7,6,Benjamina,2,IN,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,23,Teaching assistant,South London
7,6,Candice,5,IN,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,6,Jane,4,IN,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,61,Garden designer,Beckenham
7,6,Selasi,7,IN,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,30,Client service associate,London
7,6,Rav,3,OUT,Mandarin Margarita Meringue Pie,Blossom Cake,28,Student support,Erith
7,6,Tom,1,STAR BAKER,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,26,Project engagement manager,Rochdale
7,7,Benjamina,3,IN,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,23,Teaching assistant,South London
7,7,Candice,2,IN,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,7,Jane,4,IN,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",61,Garden designer,Beckenham
7,7,Selasi,6,IN,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",30,Client service associate,London
7,7,Tom,5,OUT,Millionaire's Roulade,Hipster Picnic,26,Project engagement manager,Rochdale
7,7,Andrew,1,STAR BAKER,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,25,Aerospace engineer,"Derby / Holywood, County Down"
7,8,Andrew,2,IN,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,25,Aerospace engineer,"Derby / Holywood, County Down"
7,8,Jane,5,IN,Tudor Rose Pies,Swans,61,Garden designer,Beckenham
7,8,Selasi,3,IN,Bouquet of Flowers,Fruity Tudor Marchpane,30,Client service associate,London
7,8,Benjamina,4,OUT,Mexican Adventure,Tudor Garden,23,Teaching assistant,South London
7,8,Candice,1,STAR BAKER,Cheesy Cheeky Fish Pies,Peacock,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,9,Candice,3,IN,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,9,Jane,1,IN,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,61,Garden designer,Beckenham
7,9,Selasi,4,OUT,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,30,Client service associate,London
7,9,Andrew,2,STAR BAKER,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,25,Aerospace engineer,"Derby / Holywood, County Down"
7,10,Andrew,1,Runner-up,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,25,Aerospace engineer,"Derby / Holywood, County Down"
7,10,Jane,3,Runner-up,"Red, White and Blue Meringue Crown",Family Favourites Feast,61,Garden designer,Beckenham
7,10,Candice,2,WINNER,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
8,1,Chris,12,IN,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,50,Software developer,Bristol
8,1,Flo,9,IN,Citrus Layer Cake,'One in a Melon' Cake,71,Retired,Merseyside
8,1,James,2,IN,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,46,Banker,"Brentwood, Essex"
8,1,Julia,3,IN,Courgette and Lemon Cake,'Russian Doll' Cake,21,Aviation Broker,"Crawley, West Sussex"
8,1,Kate,1,IN,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,29,Health and safety inspector,Merseyside
8,1,Liam,8,IN,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,19,Student,North London
8,1,Sophie,5,IN,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,1,Stacey,11,IN,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,42,Former school teacher,"Radlett, Hertfordshire"
8,1,Tom,7,IN,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,29,Architect,Edinburgh
8,1,Yan,4,IN,Windfall Apple Crumble Cake,'Banana-ramen' Cake,46,Laboratory research scientist,North London
8,1,Peter,10,OUT,Coconut Cake,'Bread on a Breadboard' Cake,52,IT programme manager,"Southend, Essex"
8,1,Steven,6,STAR BAKER,Bonfire Night Cake,'A Baker's Lunch' Cake,34,Marketer,"Watford, Hertfordshire"
8,2,Flo,10,IN,Gin Jam Butties,'Pick My Bones' Game,71,Retired,Merseyside
8,2,James,3,IN,Rhubarb and Custard Whirls,'Coppit' Game,46,Banker,"Brentwood, Essex"
8,2,Julia,4,IN,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,21,Aviation Broker,"Crawley, West Sussex"
8,2,Kate,8,IN,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,29,Health and safety inspector,Merseyside
8,2,Liam,7,IN,Coffee Malted Pecan Shorties,'Classroom Classics' Game,19,Student,North London
8,2,Sophie,2,IN,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,2,Stacey,9,IN,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,42,Former school teacher,"Radlett, Hertfordshire"
8,2,Tom,5,IN,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,29,Architect,Edinburgh
8,2,Yan,1,IN,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,46,Laboratory research scientist,North London
8,2,Chris,11,OUT,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,50,Software developer,Bristol
8,2,Steven,6,STAR BAKER,Amarpressi Biscuits,'Check Bake' Game,34,Marketer,"Watford, Hertfordshire"
8,3,James,9,IN,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,46,Banker,"Brentwood, Essex"
8,3,Kate,10,IN,Blueberry Buns,'Kraken' Bread Sculpture,29,Health and safety inspector,Merseyside
8,3,Liam,5,IN,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,19,Student,North London
8,3,Sophie,6,IN,Tagine Teacakes,'Picnic Basket' Bread Sculpture,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,3,Stacey,1,IN,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,42,Former school teacher,"Radlett, Hertfordshire"
8,3,Steven,3,IN,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,34,Marketer,"Watford, Hertfordshire"
8,3,Tom,4,IN,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,29,Architect,Edinburgh
8,3,Yan,8,IN,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,46,Laboratory research scientist,North London
8,3,Flo,7,OUT,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,71,Retired,Merseyside
8,3,Julia,2,STAR BAKER,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,21,Aviation Broker,"Crawley, West Sussex"
